pw_session_id;pw_event_id;pw_search_category;pw_search_keyword;pw_search_results_count
6406039679;21611036359;zoeken;aanmelden;5130
6406039679;21611045445;zoeken;opleiding erkennen;730
6406043415;21610907913;zoeken;Diploma;3930
6406043415;21610926393;zoeken;Hoe kan ik mijn diploma opvragen;40
6406043415;21610948481;zoeken;Diploma inzien;140
6406048189;21610983497;zoeken;wat telt mee voor eindexamen 5 havo;20
6406052701;21610953263;zoeken;Levenlangleren;20
6406063629;21610990359;zoeken;School verzaakt;0
6406070207;21611015871;zoeken;Zomervakantie 2025;140
6406070961;21611029687;zoeken;Herfstvakantie;310
6406074829;21611034441;zoeken;vervroegd starten;160
6406076297;21611036675;zoeken;TOS;160
6406083235;21611066637;zoeken;basisonderwijs;5630
6406085233;21611084211;zoeken;Mei;51050
6406090153;21611104525;zoeken;Vakantie noord braband;0
6406097279;21611128857;zoeken;wet bijzondere toelating;700
6406110555;21611197259;zoeken;studiefinanciering;2950
6406110555;21611202619;zoeken;studiefinanciering;2950
6406110555;21611208117;zoeken;sudiefinanciering belastbaar inkomen;0
6406120827;21611239279;zoeken;Refio noord;0
6406121045;21611239977;zoeken;Klussen;290
6406122601;21611246007;zoeken;vragen leerplicht schoolvakanties;40
6406130679;21611291583;zoeken;onderwijsinspectie;1130
6406134187;21611309367;zoeken;4 februari;17350
6406136865;21611314615;zoeken;Herfstvakantie 2023;50
6406138681;21611325559;zoeken;Hoofddorp;740
6406140581;21611327109;zoeken;gpl;70
6406140581;21611350435;zoeken;gpl po 2023;10
6406140581;21611363271;zoeken;bedragen gpl 2023;10
6406145567;21611369375;zoeken;Herfst vakantie;110
6406156597;21611405977;zoeken;Bouwvak;20
6406158773;21611403567;zoeken;Inburgering;3790
6406161247;21611415559;zoeken;Schoolvakanties 2023;140
6406161951;21611436873;zoeken;passend onderwijs;4520
6406166391;21611435753;zoeken;studiefinanciering;2950
6406168069;21611517379;zoeken;Schoolkamp;30
6406173235;21611471589;zoeken;Kerstvakantie 2024;80
6406174779;21611469193;zoeken;Tso;160
6406176505;21611472535;zoeken;Haarlem;2450
6406178737;21611511409;zoeken;Maandelijks collegegeld;30
6406179207;21611503191;zoeken;actieplan kansengelijkheid;220
6406182291;21611516027;zoeken;maatregelen na ziek zijn;1990
6406182631;21611746993;zoeken;ips regeling;130
6406183781;21611504151;zoeken;Telefoonverbod;0
6406184211;21611505159;zoeken;luizen;20
6406187473;21611536489;zoeken;Verlof aanvragen;700
6406188955;21611528871;zoeken;Zomer2024;0
6406192407;21611548109;zoeken;Aanvullende beurs;800
6406192407;21611591713;zoeken;Studenten ov;860
6406199141;21611637531;zoeken;Feestdagen 2024;210
6406199141;21611709619;zoeken;Feestdagen 2024;210
6406199451;21611698711;zoeken;leiderschap;1790
6406199451;21611716811;zoeken;leiderschap;1790
6406199451;21611725341;zoeken;leiderschap;1790
6406216155;21611654813;zoeken;Passen;18530
6406220549;21611922209;zoeken;activiteitenplan versterken basisvaardigheden;0
6406222271;21611666829;zoeken;toekomstverkenning;0
6406222271;21611691961;Kamervergadering;toekomstverkenning;0
